Date,Open,High,Low,Close,Volume,Adj Close
03-04-2017,1446,1499,1425.05,1496.6,1536500,1496.6
01-03-2017,1396.45,1479.95,1369,1442.55,1679400,1442.55
01-02-2017,1286.2,1454,1280.5,1390.1,6639200,1390.1
02-01-2017,1209.45,1300,1183.1,1286.65,1562600,1286.65
01-12-2016,1202.3,1212,1163.6,1206.2,1113300,1206.2
01-11-2016,1256,1289,1158,1199.6,1802100,1199.6
03-10-2016,1281,1300.05,1224.15,1259.05,938900,1259.05
01-09-2016,1288,1318.45,1265.4,1272.85,1229500,1272.85
01-08-2016,1249,1295,1213.8,1291.2,1392300,1291.2
01-07-2016,1180,1251.25,1160.9,1246.2,1427000,1246.2
01-06-2016,1182.95,1191.85,1144.25,1176.45,1524700,1176.45
02-05-2016,1127.75,1195,1113.15,1181.9,1309900,1172.28
01-04-2016,1068.8,1136.7,1042.85,1132.35,1247200,1123.13
01-03-2016,974.95,1078.9,971.85,1071.15,1581100,1062.43
01-02-2016,1058,1067,928,971.85,1806500,963.94
01-01-2016,1082.4,1108,1007.9,1049.85,1391200,1041.3
01-12-2015,1077.05,1092.7,1040.1,1082.15,1162700,1073.34
02-11-2015,1095.05,1098.1,1041,1077.75,1058800,1068.98
01-10-2015,1075.2,1124,1059.35,1099.6,1225200,1090.65
01-09-2015,1021.3,1073.9,977,1068.8,1643800,1060.1
03-08-2015,1112.75,1117.5,1005.7,1027.45,1400700,1019.09
01-07-2015,1061.35,1128,1054.05,1111.65,1396800,1102.6
01-06-2015,1048.95,1072,990.15,1067.15,1757800,1050.57
01-05-2015,988.8,1054,944.2,1050.55,1620600,1034.22
01-04-2015,1026.1,1059,979.05,988.8,1616900,973.43
02-03-2015,1080.35,1109.3,1002.1,1022.7,2158800,1006.81
02-02-2015,1068.5,1093,1030,1054,1768500,1037.62
01-01-2015,951,1100.6,936.25,1077.35,2029000,1060.61
01-12-2014,958.3,973.95,916,951.6,1520200,936.81
03-11-2014,915.2,965.9,893,957.15,2010500,942.28
01-10-2014,866,914.6,854.1,911.85,1474100,897.68
01-09-2014,845.9,879.8,838.6,872.65,2029300,859.09
01-08-2014,826.05,852.8,791.4,843.55,1560400,830.44
01-07-2014,823,860.7,807.15,834,1864700,821.04
02-06-2014,793.5,856,793.5,821.55,1925400,808.78
01-05-2014,721.3,854,711.45,792.75,3246100,773.88
01-04-2014,751.5,753.55,707.3,721.3,1878900,704.13
03-03-2014,665.2,760.75,662.5,748.8,2631000,730.98
03-02-2014,629.95,682.9,616.8,669.6,1297400,653.67
01-01-2014,668,685,625.1,628.5,2367400,613.54
02-12-2013,662,717.4,649.55,665.85,3216600,650
01-11-2013,681.6,688,616.7,661.3,2650100,645.56
01-10-2013,598.8,689,589.35,680.8,3019800,664.6
02-09-2013,598,689.9,557.05,593.05,4628900,578.94
01-08-2013,613.9,637.8,528,594,6121300,579.86
01-07-2013,669,698.05,606.9,609.75,3319800,595.24
03-06-2013,698,701.4,620,669.5,3314500,653.57
01-05-2013,682.3,727.3,669.95,700.5,2419900,678.17
01-04-2013,624.65,702,613.4,682.3,3284600,660.55
01-03-2013,625,660,602.55,625.35,3461500,605.41
01-02-2013,644.8,680.9,619.35,625.35,3338800,605.41
01-01-2013,682.1,690,640.1,643.05,2653400,622.55
03-12-2012,700,701.15,669.75,678.6,2313500,656.96
01-11-2012,632.75,705.5,627.5,703.95,2178400,681.51
01-10-2012,629,644.8,505.05,634.2,2051800,613.98
03-09-2012,597.55,638.9,583.35,629.15,2908300,609.09
01-08-2012,585.55,609.5,577.3,595.35,2372200,576.37
02-07-2012,564,593.8,560,587.75,2480300,569.01
01-06-2012,504,564.9,485.05,563.55,3095600,545.58
01-05-2012,542.5,558,482.2,506.2,3060100,486.22
02-04-2012,518,558,515.85,542.5,2309400,521.09
01-03-2012,517,534.5,493,519.85,2756500,499.33
01-02-2012,494.5,539.9,481.35,517.1,3854800,496.69
02-01-2012,428.9,504,419.5,492.1,2585600,472.68
01-12-2011,458.95,470.9,400.25,426.85,3539700,410
01-11-2011,485.1,493,411.3,442.5,3766600,425.04
03-10-2011,460.15,497,436.55,490,4344300,470.66
02-09-2011,484,497.65,439.45,467.65,3875300,449.19
01-08-2011,493.45,495.95,436.15,471.95,3499600,453.32
01-07-2011,2540,2583.3,481.1,486.8,3112700,467.59
01-06-2011,2390,2524.95,2271.95,2515.55,3460700,483.25
02-05-2011,2306,2408.7,2207.8,2399.55,4309000,445.11
01-04-2011,2353,2441.05,2275,2295.55,4473700,425.82
01-03-2011,2074.8,2395.9,2059,2345.85,4966800,435.15
01-02-2011,2076.9,2243.1,1981.4,2052.25,4589200,380.69
03-01-2011,2370,2399.65,1996.2,2047.3,5819800,379.77
01-12-2010,2288.55,2425,2150,2346.35,4181500,435.24
01-11-2010,2298,2419.8,2258.5,2285.4,3376300,423.94
01-10-2010,2492,2539.9,2237,2279.9,4114300,422.92
01-09-2010,2135.55,2510.8,2120,2489.35,5253600,461.77
02-08-2010,2130,2239.8,2048,2134.25,3528800,395.9
01-07-2010,1912,2137,1895,2126.9,3747600,394.54
01-06-2010,1889.7,2010,1808.35,1919,3725900,355.97
03-05-2010,1985,1995,1785,1888.45,3285600,339.13
01-04-2010,1950,2010,1890.5,2000.45,3297400,359.24
02-03-2010,1724,1990,1628.85,1933.5,5283700,347.22
01-02-2010,1628,1734.75,1549,1704.8,4453000,306.15
01-01-2010,1705.2,1790,1552.5,1631.05,5388400,292.91
01-12-2009,1779.7,1839,1642.1,1702.25,3149200,305.69
02-11-2009,1625,1810,1581.35,1766.25,3716900,317.18
01-10-2009,1640,1738.8,1570.25,1620.7,3215000,291.05
01-09-2009,1480.05,1660,1425,1650.5,4198400,296.4
03-08-2009,1500,1518.7,1355,1471,4862800,264.16
01-07-2009,1498,1548,1333.05,1499.1,6438500,269.21
01-06-2009,1454,1584,1347.9,1493.15,6750900,268.14
01-05-2009,1105,1539.7,1105,1444.5,8925800,251.08
01-04-2009,985,1139.95,951.6,1105,7128500,192.07
02-03-2009,873.1,1013,774,973.4,12847800,169.2
02-02-2009,920,958.15,835,889.5,6943100,154.61
01-01-2009,996,1125.25,865.1,925.6,7934900,160.89
01-12-2008,925,1084.35,845.1,998.35,8901700,173.53
03-11-2008,1055.15,1168,791.55,922.75,11740100,160.39
01-10-2008,1238,1308.7,862,1022.6,11174500,177.75
01-09-2008,1249.5,1386,1075.75,1229.7,9094800,213.75
01-08-2008,1094.7,1335.8,1026.25,1276.7,8095300,221.92
01-07-2008,1015,1249,892.3,1098.15,8691700,190.88
02-06-2008,1380,1380,995,1007.4,4692600,175.11
02-05-2008,1545,1600,1301,1368.7,2939700,237.91
01-04-2008,1320.05,1559,1270,1524.15,4198800,264.93
03-03-2008,1430,1467.2,1165.55,1331.25,4481800,224.94
01-02-2008,1575,1623.8,1350.7,1456.75,3262700,246.15
01-01-2008,1730,1825,1351,1569.55,3946600,265.21
03-12-2007,1735,1798.8,1616.55,1729.1,2386800,292.17
